"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","es","bv","el","er","S"
"07:18:26.128","0","0","0","0","0","0","0","0","30","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","72","0","0","0,0,0,0,0,4095,4095"
"07:18:26.428","0","0","0","0","0","0","0","0","30","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","75","0","0","0,0,0,0,0,4095,4095"
"07:18:26.728","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","72","0","0","0,0,0,0,0,4095,4095"
"07:18:27.028","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","71","0","0","0,0,0,0,0,4095,4095"
"07:18:27.328","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","74","0","0","0,0,0,0,0,4095,4095"
"07:18:27.628","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","68","0","0","0,0,0,0,0,4095,4095"
"07:18:27.928","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:28.228","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","108","0","0","4095,4095,0,0,0,4095,4095"
"07:18:28.526","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,1365,0,1365,4095,4095"
"07:18:28.828","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","108","0","0","4095,4095,0,0,0,4095,4095"
"07:18:29.128","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,0,0,0,4095,4095"
"07:18:29.429","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:29.728","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:30.024","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","108","0","0","4095,4095,1365,0,1365,4095,4095"
"07:18:30.328","0","0","0","0","0","0","0","0","35","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,2730,0,1365,4095,4095"
"07:18:30.628","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:30.929","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,1365,0,0,4095,4095"
"07:18:31.229","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","110","0","0","4095,4095,1365,0,0,4095,4095"
"07:18:31.528","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:31.822","0","0","0","0","0","0","0","0","30","0","0","0","0","36","0","0","0","0","255","1","0","0","0","","109","0","0","4095,4095,0,0,0,4095,4095"
"07:18:32.128","0","0","0","0","0","0","0","0","30","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","72","0","0","0,0,0,0,0,4095,4095"
"07:18:32.427","0","0","0","0","0","0","0","0","30","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","75","0","0","0,0,0,0,0,4095,4095"
"07:18:32.728","0","0","0","0","0","0","0","0","30","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","70","0","0","0,0,0,0,0,4095,4095"
"07:18:33.029","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","68","0","0","0,0,0,0,0,4095,4095"
"07:18:33.328","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","72","0","0","0,0,0,0,0,4095,4095"
