run,L,R,T,out,pid_l,pid_r,sent_l,sent_r,pos,lost,deep,junc,jc,yw,u,sm,rd,sg,ar,rdir,s2,lt,rs,es,fn,bv,el,er,S0,S1,S2,S3,S4,S5,S6
2,33,33,28,70,20,120,870,1060,25,0,0,0,0,1,0,0,0,0,255,1,0,0,0,3,1,109,113,113,4095,4095,0,0,4095,4095,4095
2,33,33,28,70,69,70,919,1010,30,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,108,123,123,4095,4095,0,0,0,4095,4095
2,36,33,28,70,32,107,882,1047,20,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,109,133,133,4095,0,0,0,4095,4095,4095
2,30,33,28,73,35,110,885,1050,20,0,0,0,0,2,0,0,0,0,255,1,0,0,0,3,1,108,143,143,4095,1365,0,0,4095,4095,4095
2,33,33,28,70,87,52,937,992,35,0,0,0,0,0,0,0,0,0,255,1,0,0,0,3,1,108,153,153,4095,4095,4095,0,0,4095,4095
2,33,33,28,70,20,282,790,1082,5,0,1,0,0,3,0,0,0,0,255,1,0,0,0,3,1,109,162,162,0,0,4095,4095,4095,4095,4095
2,30,30,22,72,0,279,0,1079,5,69,1,0,0,47,0,0,0,0,255,1,0,0,0,3,1,110,169,172,4095,4095,4095,4095,4095,4095,4095
2,10,33,28,74,93,55,943,995,35,0,0,0,0,84,0,0,0,0,255,1,0,0,0,3,1,109,171,181,4095,4095,4095,0,0,4095,4095
2,16,26,28,85,35,195,885,1135,20,0,0,0,0,74,0,0,0,0,255,1,0,0,0,3,1,109,180,189,4095,0,0,0,4095,4095,4095
2,33,30,22,70,39,100,889,1040,20,69,0,0,0,78,0,0,0,0,255,1,0,0,0,3,1,109,190,199,4095,4095,4095,4095,4095,4095,4095
2,32,32,22,70,0,282,0,1082,20,138,1,0,0,94,0,0,0,0,255,1,0,0,0,3,1,109,200,209,4095,4095,4095,4095,4095,4095,4095
2,20,33,22,78,0,291,0,1091,20,208,1,0,0,172,0,0,0,0,255,1,0,0,0,3,1,109,200,218,4095,4095,4095,4095,4095,4095,4095
2,0,29,22,92,0,305,0,1105,20,277,1,0,0,241,1,0,0,1,255,1,0,0,0,3,1,109,200,227,4095,4095,4095,4095,4095,4095,4095
