"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","bv","el","er","S"
"05:49:30.055","0","0","0","0","0","0","0","0","55","0","0","0","0","-79","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:30.365","0","0","0","0","0","0","0","0","55","0","0","0","0","-43","0","0","0","0","255","1","0","0","0","108","0","51","0,0,0,0,0,0,0"
"05:49:30.667","0","0","0","0","0","0","0","0","55","0","0","0","0","-34","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:30.964","0","0","0","0","0","0","0","0","55","0","0","0","0","-26","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:31.259","0","0","0","0","0","0","0","0","55","0","0","0","0","3","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:31.565","0","0","0","0","0","0","0","0","55","0","0","0","0","19","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:31.860","0","0","0","0","0","0","0","0","55","0","0","0","0","20","0","0","0","0","255","1","0","0","0","110","0","51","0,0,0,0,0,0,0"
"05:49:32.161","0","0","0","0","0","0","0","0","55","0","0","0","0","31","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:32.463","0","0","0","0","0","0","0","0","55","0","0","0","0","36","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:32.761","0","0","0","0","0","0","0","0","55","0","0","0","0","39","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:33.062","0","0","0","0","0","0","0","0","55","0","0","0","0","36","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:33.363","0","0","0","0","0","0","0","0","55","0","0","0","0","29","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:33.664","0","0","0","0","0","0","0","0","55","0","0","0","0","24","0","0","0","0","255","1","0","0","0","110","0","51","0,0,0,0,0,0,0"
"05:49:33.965","0","0","0","0","0","0","0","0","55","0","0","0","0","24","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:34.265","0","0","0","0","0","0","0","0","55","0","0","0","0","17","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:34.566","0","0","0","0","0","0","0","0","55","0","0","0","0","22","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:34.866","0","0","0","0","0","0","0","0","55","0","0","0","0","30","0","0","0","0","255","1","0","0","0","110","0","51","0,0,0,0,0,0,0"
"05:49:35.166","0","0","0","0","0","0","0","0","55","0","0","0","0","38","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:35.467","0","0","0","0","0","0","0","0","55","0","0","0","0","44","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:35.760","0","0","0","0","0","0","0","0","55","0","0","0","0","43","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:36.065","0","0","0","0","0","0","0","0","55","0","0","0","0","45","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:36.360","0","0","0","0","0","0","0","0","55","0","0","0","0","48","0","0","0","0","255","1","0","0","0","110","0","51","0,0,0,0,0,0,0"
"05:49:36.665","0","0","0","0","0","0","0","0","55","0","0","0","0","50","0","0","0","0","255","1","0","0","0","108","0","51","0,0,0,0,0,0,0"
"05:49:36.955","0","0","0","0","0","0","0","0","55","0","0","0","0","54","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:37.266","0","0","0","0","0","0","0","0","55","0","0","0","0","55","0","0","0","0","255","1","0","0","0","111","0","51","0,0,0,0,0,0,0"
"05:49:37.562","0","0","0","0","0","0","0","0","55","0","0","0","0","60","0","0","0","0","255","1","0","0","0","110","0","51","0,0,0,0,0,0,0"
"05:49:37.866","0","0","0","0","0","0","0","0","55","0","0","0","0","54","0","0","0","0","255","1","0","0","0","110","0","51","0,0,0,0,0,0,0"
"05:49:38.155","0","0","0","0","0","0","0","0","55","0","0","0","0","32","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:38.459","0","0","0","0","0","0","0","0","55","0","0","0","0","17","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:38.766","0","0","0","0","0","0","0","0","55","0","0","0","0","0","0","0","0","0","255","1","0","0","0","110","0","51","0,0,0,0,0,0,0"
"05:49:39.061","0","0","0","0","0","0","0","0","55","0","0","0","0","-10","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:39.364","0","0","0","0","0","0","0","0","55","0","0","0","0","-14","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:39.666","0","0","0","0","0","0","0","0","55","0","0","0","0","-7","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:39.966","0","0","0","0","0","0","0","0","55","0","0","0","0","9","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:40.260","0","0","0","0","0","0","0","0","55","0","0","0","0","8","0","0","0","0","255","1","0","0","0","110","0","51","0,0,0,0,0,0,0"
"05:49:40.566","0","0","0","0","0","0","0","0","55","0","0","0","0","12","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:40.856","0","0","0","0","0","0","0","0","55","0","0","0","0","40","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:41.151","0","0","0","0","0","0","0","0","55","0","0","0","0","54","0","0","0","0","255","1","0","0","0","108","0","51","0,0,0,0,0,0,0"
"05:49:41.464","0","0","0","0","0","0","0","0","55","0","0","0","0","61","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:41.766","0","0","0","0","0","0","0","0","55","0","0","0","0","71","0","0","0","0","255","1","0","0","0","109","0","51","0,0,0,0,0,0,0"
"05:49:42.068","0","0","0","0","0","0","0","0","45","0","0","1","0","78","0","0","0","0","255","1","0","0","0","109","0","51","0,2730,1365,0,0,0,0"
"05:49:42.361","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:42.665","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:42.955","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:43.266","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","110","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:43.561","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:43.859","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","110","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:44.166","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:44.452","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","110","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:44.768","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:45.065","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","110","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:45.366","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","108","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:45.660","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:49:45.965","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
